"filename", "language", "JavaScript JSX", "JavaScript", "JSON", "comment", "blank", "total"
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\AdminDashboard.jsx", "JavaScript JSX", 37, 0, 0, 1, -1, 37
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\ContactInquiries.jsx", "JavaScript JSX", 39, 0, 0, 1, 3, 43
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\HotelListing.jsx", "JavaScript JSX", 94, 0, 0, 5, 0, 99
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\HotelOwnerDetails.jsx", "JavaScript JSX", 74, 0, 0, 1, 5, 80
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\HotelOwnerList.jsx", "JavaScript JSX", 81, 0, 0, 0, 5, 86
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\Reports.jsx", "JavaScript JSX", 157, 0, 0, 0, 9, 166
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\ReviewManagement.jsx", "JavaScript JSX", 8, 0, 0, 0, 0, 8
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\TourGuide.jsx", "JavaScript JSX", 63, 0, 0, 1, 1, 65
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\TourGuidePayments.jsx", "JavaScript JSX", 37, 0, 0, 3, 1, 41
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\Users.jsx", "JavaScript JSX", -15, 0, 0, -3, -1, -19
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\VehicleListing.jsx", "JavaScript JSX", 83, 0, 0, 1, 1, 85
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\FAQPage.jsx", "JavaScript JSX", 62, 0, 0, 0, 4, 66
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Home.jsx", "JavaScript JSX", 154, 0, 0, 19, 2, 175
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\HotelCollection.jsx", "JavaScript JSX", 85, 0, 0, 3, 7, 95
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\HotelDetails.jsx", "JavaScript JSX", 50, 0, 0, 1, 2, 53
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\HotelListingsService.jsx", "JavaScript JSX", 2, 0, 0, 0, 0, 2
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\HotelPaymentPage.jsx", "JavaScript JSX", 185, 0, 0, 2, 13, 200
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\HotelProviderRegister.jsx", "JavaScript JSX", -7, 0, 0, 0, 1, -6
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\PaymentPage.jsx", "JavaScript JSX", -333, 0, 0, -6, -23, -362
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\PrivacyPolicy.jsx", "JavaScript JSX", 37, 0, 0, 0, 3, 40
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\ReceiptPage.jsx", "JavaScript JSX", 31, 0, 0, 0, 5, 36
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\RentOrderSummaryPage.jsx", "JavaScript JSX", 109, 0, 0, 1, 8, 118
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\RentVehiclePage.jsx", "JavaScript JSX", 64, 0, 0, 2, 6, 72
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\RentingPaymentPage.jsx", "JavaScript JSX", 175, 0, 0, 4, 16, 195
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\ServiceProviderLogin.jsx", "JavaScript JSX", 24, 0, 0, 0, 1, 25
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\ServiceProviderRegister.jsx", "JavaScript JSX", 32, 0, 0, 0, 0, 32
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\TermsAndConditions.jsx", "JavaScript JSX", 36, 0, 0, 0, 3, 39
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\TourGuideProfile.jsx", "JavaScript JSX", 78, 0, 0, 5, 4, 87
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\TourGuides.jsx", "JavaScript JSX", 26, 0, 0, 3, -2, 27
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\VehicleDetailPage.jsx", "JavaScript JSX", -24, 0, 0, 3, 2, -19
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\VehicleListingsService.jsx", "JavaScript JSX", 2, 0, 0, 0, 0, 2
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\VehicleProviderRegister.jsx", "JavaScript JSX", -8, 0, 0, 0, 1, -7
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\VehicleRentPage.jsx", "JavaScript JSX", -293, 0, 0, 0, -28, -321
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\VehiclesPage.jsx", "JavaScript JSX", 95, 0, 0, 4, 6, 105
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\hotel\Dashboard.jsx", "JavaScript JSX", 13, 0, 0, 0, 2, 15
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\hotel\Home.jsx", "JavaScript JSX", 16, 0, 0, 2, 3, 21
